id_category;parent_name;name;description;link_rewrite;url_image;id_lang
2;Root;Home;;home;http://www.agorachegou.com.br/img/c/2.jpg;1
2;Raiz;Início;;inicio;http://www.agorachegou.com.br/img/c/2.jpg;2
10;Início;Dell;;dell;http://www.agorachegou.com.br/img/c/10.jpg;2
11;Início;HP;;hp;http://www.agorachegou.com.br/img/c/11.jpg;2
